,Index,IndexType
0,10764,train
1,3788,train
2,11031,train
3,4989,train
4,18475,train
5,8937,train
6,3635,train
7,3934,train
8,12974,train
9,16502,train
10,16652,train
11,9464,train
12,4093,train
13,16413,train
14,5762,train
15,7298,train
16,11583,train
17,15847,train
18,16207,train
19,5760,train
20,17151,train
21,346,train
22,1175,train
23,5230,train
24,9049,train
25,1355,train
26,11656,train
27,3658,train
28,2392,train
29,5905,train
30,11935,train
31,14435,train
32,8689,train
33,1911,train
34,18241,train
35,3721,train
36,14713,train
37,1119,train
38,13557,train
39,5654,train
40,4488,train
41,15054,train
42,12527,train
43,4128,train
44,16432,train
45,5348,train
46,10549,train
47,18747,train
48,13205,train
49,16655,train
50,13163,train
51,3213,train
52,13684,train
53,7222,train
54,7229,train
55,3207,train
56,14802,train
57,2602,train
58,5094,train
59,10002,train
60,1166,train
61,7277,train
62,10778,train
63,8198,train
64,4754,train
65,11100,train
66,6978,train
67,17384,train
68,15277,train
69,5971,train
70,17289,train
71,14630,train
72,1783,train
73,15146,train
74,16338,train
75,2008,train
76,13289,train
77,3070,train
78,18745,train
79,15019,train
80,10097,train
81,5502,train
82,6462,train
83,9640,train
84,12362,train
85,2589,train
86,9731,train
87,8965,train
88,12398,train
89,6664,train
90,3755,train
91,18620,train
92,13196,train
93,16093,train
94,18819,train
95,14569,train
96,16746,train
97,5642,train
98,6977,train
99,2414,train
100,15927,train
101,7115,train
102,6165,train
103,18419,train
104,12443,train
105,438,train
106,5252,train
107,8810,train
108,16505,train
109,11149,train
110,6504,train
111,2497,train
112,6810,train
113,18130,train
114,14697,train
115,15273,train
116,16884,train
117,8403,train
118,5601,train
119,15112,train
120,7583,train
121,9707,train
122,17698,train
123,13390,train
124,18291,train
125,13704,train
126,6624,train
127,18503,train
128,8254,train
129,6114,train
130,18518,train
131,17817,train
132,6329,train
133,3570,train
134,12865,train
135,12138,train
136,14572,train
137,14132,train
138,483,train
139,5118,train
140,7945,train
141,1315,train
142,967,train
143,4740,train
144,13811,train
145,7772,train
146,2279,train
147,13321,train
148,13765,train
149,323,train
150,15647,train
151,11668,train
152,12892,train
153,18275,train
154,13410,train
155,3230,train
156,2167,train
157,10168,train
158,17769,train
159,3571,train
160,907,train
161,1576,train
162,11937,train
163,1339,train
164,7286,train
165,10820,train
166,5923,train
167,1989,train
168,5346,train
169,8994,train
170,13243,train
171,16788,train
172,15150,train
173,7405,train
174,10346,train
175,12699,train
176,12153,train
177,17750,train
178,6631,train
179,9149,train
